"Nombre de Archivo: liq 319 2022-feb-25_2022-mar-10 REF.xls"
"Fecha de Creaccion de Registro: 14/03/2022 11:00:14"
"Periodo de liquidacion: 25/feb/2022->10/mar/2022"
"Registros de Conciliacion:"
"CL-ALICE-22 CAMISETA"
"-:CT-ALBA-0212-22 CAMISETA,103,26"
"-:3190050301,CT-ALBA-0212-22 CAMISETA CORTA AZUL T.14,11"
"-:3190050302,CT-ALBA-0212-22 CAMISETA CORTA AZUL T.16,3"
"-:3190050303,CT-ALBA-0212-22 CAMISETA CORTA AZUL T.18,9"
"-:3190050304,CT-ALBA-0212-22 CAMISETA CORTA AZUL T.20,3"
"CT-ALBA-0213-22 CAMISETA"
"-:CT-ALBA-0213-22 CAMISETA,108,15"
"-:3190050285,CT-ALBA-0213-22 CAMISETA CORTA VERDE MILITAR T.14,4"
"-:3190050286,CT-ALBA-0213-22 CAMISETA CORTA VERDE MILITAR T.16,2"
"-:3190050287,CT-ALBA-0213-22 CAMISETA CORTA VERDE MILITAR T.18,6"
"-:3190050288,CT-ALBA-0213-22 CAMISETA CORTA VERDE MILITAR T.20,3"
"CT-ALBA-0214-22 CAMISETA"
"-:CT-ALBA-0214-22 CAMISETA,113,18"
"-:3190050293,CT-ALBA-0214-22 CAMISETA CORTA VERDE JADE T.14,5"
"-:3190050294,CT-ALBA-0214-22 CAMISETA CORTA VERDE JADE T.16,1"
"-:3190050295,CT-ALBA-0214-22 CAMISETA CORTA VERDE JADE T.18,6"
"-:3190050296,CT-ALBA-0214-22 CAMISETA CORTA VERDE JADE T.20,6"
"CT-ALBA-0215-22 CAMISETA"
"-:CT-ALBA-0215-22 CAMISETA,118,18"
"-:3190050297,CT-ALBA-0215-22 CAMISETA CORTA BEIGE T.14,3"
"-:3190050298,CT-ALBA-0215-22 CAMISETA CORTA BEIGE T.16,3"
"-:3190050299,CT-ALBA-0215-22 CAMISETA CORTA BEIGE T.18,4"
"-:3190050300,CT-ALBA-0215-22 CAMISETA CORTA BEIGE T.20,8"
"CT-ALBA-0216-22 CAMISETA"
"-:CT-ALBA-0216-22 CAMISETA,123,17"
"-:3190051149,CT-ALBA-0216-22 CAMISETA CORTA NEGRO T.14,5"
"-:3190051150,CT-ALBA-0216-22 CAMISETA CORTA NEGRO T.16,2"
"-:3190051151,CT-ALBA-0216-22 CAMISETA CORTA NEGRO T.18,3"
"-:3190051152,CT-ALBA-0216-22 CAMISETA CORTA NEGRO T.20,7"
"CT-ALBA-0217-22 CAMISETA"
"-:CT-ALBA-0217-22 CAMISETA,128,24"
"-:3190051153,CT-ALBA-0217-22 CAMISETA CORTA NEGRO T.14,5"
"-:3190051154,CT-ALBA-0217-22 CAMISETA CORTA NEGRO T.16,6"
"-:3190051155,CT-ALBA-0217-22 CAMISETA CORTA NEGRO T.18,5"
"-:3190051156,CT-ALBA-0217-22 CAMISETA CORTA NEGRO T.20,8"
"CT-ALBA-0218-22 CAMISETA"
"-:CT-ALBA-0218-22 CAMISETA,133,15"
"-:3190051157,CT-ALBA-0218-22 CAMISETA CORTA PALO ROSA OSCURO T.14,4"
"-:3190051158,CT-ALBA-0218-22 CAMISETA CORTA PALO ROSA OSCURO T.16,4"
"-:3190051159,CT-ALBA-0218-22 CAMISETA CORTA PALO ROSA OSCURO T.18,3"
"-:3190051160,CT-ALBA-0218-22 CAMISETA CORTA PALO ROSA OSCURO T.20,4"
"CT-CM006-0101-22 CAMISETA"
"-:CT-CM006-0101-22 CAMISETA,138,29"
"-:3190050729,CT-CM006-0101-22 CAMISETA KIMONO PALO ROSA T.P,4"
"-:3190050730,CT-CM006-0101-22 CAMISETA KIMONO PALO ROSA T.M,11"
"-:3190050731,CT-CM006-0101-22 CAMISETA KIMONO PALO ROSA T.G,10"
"-:3190050732,CT-CM006-0101-22 CAMISETA KIMONO PALO ROSA T.EG,4"
"CT-CM006-0102-22 CAMISETA"
"-:CT-CM006-0102-22 CAMISETA,143,18"
"-:3190050725,CT-CM006-0102-22 CAMISETA KIMONO BEIGE T.P,2"
"-:3190050726,CT-CM006-0102-22 CAMISETA KIMONO BEIGE T.M,8"
"-:3190050727,CT-CM006-0102-22 CAMISETA KIMONO BEIGE T.G,7"
"-:3190050728,CT-CM006-0102-22 CAMISETA KIMONO BEIGE T.EG,1"
"CT-CM006-0103-22 CAMISETA"
"-:CT-CM006-0103-22 CAMISETA,147,21"
"-:3190050722,CT-CM006-0103-22 CAMISETA KIMONO AZUL MARINO T.M,6"
"-:3190050723,CT-CM006-0103-22 CAMISETA KIMONO AZUL MARINO T.G,10"
"-:3190050724,CT-CM006-0103-22 CAMISETA KIMONO AZUL MARINO T.EG,5"
"CT-EMA-0101-22 CAMISETA"
"-:CT-EMA-0101-22 CAMISETA,152,20"
"-:3190050737,CT-EMA-0101-22 CAMISETA CORTA NEGRO T.P,4"
"-:3190050738,CT-EMA-0101-22 CAMISETA CORTA NEGRO T.M,7"
"-:3190050739,CT-EMA-0101-22 CAMISETA CORTA NEGRO T.G,3"
"-:3190050740,CT-EMA-0101-22 CAMISETA CORTA NEGRO T.EG,6"
"CT-EMA-0102-22 CAMISETA"
"-:CT-EMA-0102-22 CAMISETA,156,14"
"-:3190050733,CT-EMA-0102-22 CAMISETA CORTA AZUL MARINO T.P,4"
"-:3190050734,CT-EMA-0102-22 CAMISETA CORTA AZUL MARINO T.M,5"
"-:3190050735,CT-EMA-0102-22 CAMISETA CORTA AZUL MARINO T.G,5"
"CT-EMILIA-02-22 CAMISETA"
"-:CT-EMILIA-02-22 CAMISETA,177,110"
"-:3190050373,CT-EMILIA-02-22 CAMISETA CORTA BLANCO T.P,18"
"-:3190050374,CT-EMILIA-02-22 CAMISETA CORTA BLANCO T.M,14"
"-:3190050375,CT-EMILIA-02-22 CAMISETA CORTA BLANCO T.G,5"
"-:3190050376,CT-EMILIA-02-22 CAMISETA CORTA BLANCO T.EG,8"
"-:3190050377,CT-EMILIA-02-22 CAMISETA CORTA GRIS JASPEADO T.P,7"
"-:3190050378,CT-EMILIA-02-22 CAMISETA CORTA GRIS JASPEADO T.M,5"
"-:3190050379,CT-EMILIA-02-22 CAMISETA CORTA GRIS JASPEADO T.G,3"
"-:3190050380,CT-EMILIA-02-22 CAMISETA CORTA GRIS JASPEADO T.EG,4"
"-:3190050385,CT-EMILIA-02-22 CAMISETA CORTA CORAL T.P,5"
"-:3190050386,CT-EMILIA-02-22 CAMISETA CORTA CORAL T.M,5"
"-:3190050387,CT-EMILIA-02-22 CAMISETA CORTA CORAL T.G,7"
"-:3190050388,CT-EMILIA-02-22 CAMISETA CORTA CORAL T.EG,6"
"-:3190051161,CT-EMILIA-02-22 CAMISETA CORTA AZUL MARINO T.P,3"
"-:3190051162,CT-EMILIA-02-22 CAMISETA CORTA AZUL MARINO T.M,4"
"-:3190051163,CT-EMILIA-02-22 CAMISETA CORTA AZUL MARINO T.G,2"
"-:3190051164,CT-EMILIA-02-22 CAMISETA CORTA AZUL MARINO T.EG,2"
"-:3190051165,CT-EMILIA-02-22 CAMISETA CORTA ROSADO T.P,2"
"-:3190051166,CT-EMILIA-02-22 CAMISETA CORTA ROSADO T.M,5"
"-:3190051167,CT-EMILIA-02-22 CAMISETA CORTA ROSADO T.G,4"
"-:3190051168,CT-EMILIA-02-22 CAMISETA CORTA ROSADO T.EG,1"
