"Nombre de Archivo: liq 319 2022-mar-25_2022-abr-10 REF.xls"
"Fecha de Creaccion de Registro: 12/4/2022 19:17:03"
"Periodo de liquidacion: 25/mar/2022->10/abr/2022"
"Registros de Conciliacion:"
"CL-ALBA-0319-22 CAMISETA"
"-:3190051224,CL-KARINA-22 CAMISETA 3/4 NEGRO T.EG,1"
"-:3190051330,CL-KARINA-22 CAMISETA 3/4 PALO ROSA T.M,1"
"CL-MARTHA-22 CAMISETA"
"-:CL-MARTHA-22 CAMISETA,151,47"
"-:3190051181,CL-MARTHA-22 CAMISETA CORTA AZUL MARINO T.P,5"
"-:3190051182,CL-MARTHA-22 CAMISETA CORTA AZUL MARINO T.M,6"
"-:3190051183,CL-MARTHA-22 CAMISETA CORTA AZUL MARINO T.G,4"
"-:3190051184,CL-MARTHA-22 CAMISETA CORTA AZUL MARINO T.EG,7"
"-:3190051185,CL-MARTHA-22 CAMISETA CORTA NEGRO T.P,2"
"-:3190051186,CL-MARTHA-22 CAMISETA CORTA NEGRO T.M,2"
"-:3190051187,CL-MARTHA-22 CAMISETA CORTA NEGRO T.G,5"
"-:3190051188,CL-MARTHA-22 CAMISETA CORTA NEGRO T.EG,8"
"-:3190051190,CL-MARTHA-22 CAMISETA CORTA PALO ROSA T.M,1"
"-:3190051191,CL-MARTHA-22 CAMISETA CORTA PALO ROSA T.G,4"
"-:3190051192,CL-MARTHA-22 CAMISETA CORTA PALO ROSA T.EG,3"
"CL-NICOLE-22 CAMISETA"
"-:CL-NICOLE-22 CAMISETA,164,59"
"-:3190051229,CL-NICOLE-22 CAMISETA KIMONO NEGRO T.P,7"
"-:3190051230,CL-NICOLE-22 CAMISETA KIMONO NEGRO T.M,6"
"-:3190051231,CL-NICOLE-22 CAMISETA KIMONO NEGRO T.G,3"
"-:3190051232,CL-NICOLE-22 CAMISETA KIMONO NEGRO T.EG,5"
"-:3190051233,CL-NICOLE-22 CAMISETA KIMONO PALO ROSA T.P,4"
"-:3190051234,CL-NICOLE-22 CAMISETA KIMONO PALO ROSA T.M,9"
"-:3190051235,CL-NICOLE-22 CAMISETA KIMONO PALO ROSA T.G,7"
"-:3190051236,CL-NICOLE-22 CAMISETA KIMONO PALO ROSA T.EG,3"
"-:3190051333,CL-NICOLE-22 CAMISETA KIMONO BEIGE T.P,2"
"-:3190051334,CL-NICOLE-22 CAMISETA KIMONO BEIGE T.M,5"
"-:3190051335,CL-NICOLE-22 CAMISETA KIMONO BEIGE T.G,4"
"-:3190051336,CL-NICOLE-22 CAMISETA KIMONO BEIGE T.EG,4"
"CL-PL-DAYANA-22 CAMISETA"
"-:CL-PL-DAYANA-22 CAMISETA,180,33"
"-:3190051525,CL-PL-DAYANA-22 CAMISETA CORTA AZUL T.14,2"
"-:3190051526,CL-PL-DAYANA-22 CAMISETA CORTA AZUL T.18,2"
"-:3190051527,CL-PL-DAYANA-22 CAMISETA CORTA AZUL T.20,1"
"-:3190051529,CL-PL-DAYANA-22 CAMISETA CORTA MOSTAZA T.14,1"
"-:3190051530,CL-PL-DAYANA-22 CAMISETA CORTA MOSTAZA T.18,1"
"-:3190051531,CL-PL-DAYANA-22 CAMISETA CORTA MOSTAZA T.20,4"
"-:3190051532,CL-PL-DAYANA-22 CAMISETA CORTA MOSTAZA T.16,3"
"-:3190051533,CL-PL-DAYANA-22 CAMISETA CORTA NEGRO T.14,2"
"-:3190051534,CL-PL-DAYANA-22 CAMISETA CORTA NEGRO T.18,3"
"-:3190051535,CL-PL-DAYANA-22 CAMISETA CORTA NEGRO T.20,2"
"-:3190051536,CL-PL-DAYANA-22 CAMISETA CORTA NEGRO T.16,3"
"-:3190051537,CL-PL-DAYANA-22 CAMISETA CORTA VINO T.14,5"
"-:3190051538,CL-PL-DAYANA-22 CAMISETA CORTA VINO T.18,1"
"-:3190051539,CL-PL-DAYANA-22 CAMISETA CORTA VINO T.20,1"
"-:3190051540,CL-PL-DAYANA-22 CAMISETA CORTA VINO T.16,2"
"CL-PL-KARINA-22 CAMISETA"
"-:CL-PL-KARINA-22 CAMISETA,195,36"
"-:3190051389,CL-PL-KARINA-22 CAMISETA 3/4 BEIGE T.14,3"
"-:3190051390,CL-PL-KARINA-22 CAMISETA 3/4 BEIGE T.18,1"
"-:3190051393,CL-PL-KARINA-22 CAMISETA 3/4 NEGRO T.14,1"
"-:3190051394,CL-PL-KARINA-22 CAMISETA 3/4 NEGRO T.18,3"
"-:3190051395,CL-PL-KARINA-22 CAMISETA 3/4 NEGRO T.20,2"
"-:3190051396,CL-PL-KARINA-22 CAMISETA 3/4 NEGRO T.16,1"
"-:3190051501,CL-PL-KARINA-22 CAMISETA 3/4 AZUL T.14,4"
"-:3190051502,CL-PL-KARINA-22 CAMISETA 3/4 AZUL T.18,1"
"-:3190051503,CL-PL-KARINA-22 CAMISETA 3/4 AZUL T.20,1"
"-:3190051504,CL-PL-KARINA-22 CAMISETA 3/4 AZUL T.16,2"
"-:3190051505,CL-PL-KARINA-22 CAMISETA 3/4 PALO ROSA T.14,6"
"-:3190051506,CL-PL-KARINA-22 CAMISETA 3/4 PALO ROSA T.18,2"
"-:3190051507,CL-PL-KARINA-22 CAMISETA 3/4 PALO ROSA T.20,5"
"-:3190051508,CL-PL-KARINA-22 CAMISETA 3/4 PALO ROSA T.16,4"
"CL-SHIRLEY-22 CAMISETA"
"-:CL-SHIRLEY-22 CAMISETA,211,47"
"-:3190050569,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.20,3"
"-:3190050570,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.18,2"
"-:3190050571,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.16,1"
"-:3190050572,CL-SHIRLEY-22 CAMISETA KIMONO NEGRO T.14,5"
"-:3190050573,CL-SHIRLEY-22 CAMISETA KIMONO AZUL MARINO T.20,2"
"-:3190050574,CL-SHIRLEY-22 CAMISETA KIMONO AZUL MARINO T.18,1"
"-:3190050575,CL-SHIRLEY-22 CAMISETA KIMONO AZUL MARINO T.16,2"
"-:3190050576,CL-SHIRLEY-22 CAMISETA KIMONO AZUL MARINO T.14,2"
"-:3190050577,CL-SHIRLEY-22 CAMISETA KIMONO VERDE MILITAR T.20,8"
"-:3190050579,CL-SHIRLEY-22 CAMISETA KIMONO VERDE MILITAR T.16,3"
"-:3190050580,CL-SHIRLEY-22 CAMISETA KIMONO VERDE MILITAR T.14,2"
"-:3190051177,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.20,2"
"-:3190051178,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.18,4"
"-:3190051179,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.16,5"
"-:3190051180,CL-SHIRLEY-22 CAMISETA KIMONO PALO ROSA T.14,5"
"CT- JACKY-22 VESTIDO"
